Created file at epoch: 1136
(Timestamp: 28692) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 28.06, 20.00, 28.06], Solar Cell 1: [Voltage: 0.72V, Current: 94.03mA], Solar Cell 2: [Voltage: 3.40V, Current: 6.86mA]
(Timestamp: 29200) Temperature Readings: [20.65, 19.03, 30.97, 20.00, 21.94, 28.06, 20.00, 28.06], Solar Cell 1: [Voltage: 0.72V, Current: 95.01mA], Solar Cell 2: [Voltage: 3.39V, Current: 6.86mA]
(Timestamp: 29709) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 28.06, 20.00, 28.06], Solar Cell 1: [Voltage: 0.73V, Current: 95.66mA], Solar Cell 2: [Voltage: 3.29V, Current: 6.53mA]
(Timestamp: 30219) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 28.06, 19.68, 28.06], Solar Cell 1: [Voltage: 0.72V, Current: 94.68mA], Solar Cell 2: [Voltage: 3.37V, Current: 6.86mA]
(Timestamp: 30730) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 28.39, 20.00, 28.06], Solar Cell 1: [Voltage: 0.74V, Current: 95.99mA], Solar Cell 2: [Voltage: 3.35V, Current: 6.53mA]
(Timestamp: 31240) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 27.74, 20.00, 28.06], Solar Cell 1: [Voltage: 0.74V, Current: 96.97mA], Solar Cell 2: [Voltage: 3.30V, Current: 6.53mA]
(Timestamp: 31753) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 28.06, 19.68, 27.42], Solar Cell 1: [Voltage: 0.72V, Current: 95.34mA], Solar Cell 2: [Voltage: 3.34V, Current: 6.53mA]
(Timestamp: 32259) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 28.06, 20.00, 27.74], Solar Cell 1: [Voltage: 0.70V, Current: 93.71mA], Solar Cell 2: [Voltage: 3.32V, Current: 6.53mA]
(Timestamp: 32766) Temperature Readings: [20.65, 19.03, 30.32, 20.32, 22.26, 27.42, 20.00, 27.74], Solar Cell 1: [Voltage: 0.70V, Current: 93.71mA], Solar Cell 2: [Voltage: 3.31V, Current: 6.53mA]
(Timestamp: 33272) Temperature Readings: [20.65, 19.03, 30.65, 20.00, 22.26, 27.42, 19.68, 27.74], Solar Cell 1: [Voltage: 0.74V, Current: 96.32mA], Solar Cell 2: [Voltage: 3.27V, Current: 6.53mA]
